date,from,to,probs
2023-02-13,0.0,2,"[0.21100082212035015, 0.00019807600898077507, 0.7887239957823803, 7.710608830216544e-05]"
2023-05-08,2.0,1,"[6.519136192673096e-08, 0.7310212888358137, 0.26891443023530115, 6.421573753073244e-05]"
2023-05-29,1.0,2,"[0.1762787753825341, 0.0001057908213661826, 0.8236106738013694, 4.759994717666877e-06]"
2023-06-05,2.0,1,"[9.141866345144034e-49, 0.7310044506026725, 0.26899554939733816, 3.996127950867153e-49]"
2023-06-12,1.0,2,"[7.93101281287261e-11, 0.26891125689042633, 0.7310044818041073, 8.426122617565047e-05]"
2023-06-19,2.0,1,"[4.792835366678153e-07, 0.7310582691037346, 0.2689102536399245, 3.09979727979188e-05]"
2023-07-03,1.0,2,"[0.0002038901182085792, 0.2690149598684454, 0.7307811499211673, 9.21794959042096e-11]"
2023-07-17,2.0,0,"[0.7309427500401301, 1.0327280233838804e-05, 0.2689427769155831, 0.00010414576406255499]"
2023-07-24,0.0,1,"[0.2688970839358177, 0.7310417535022726, 2.2849476430152373e-05, 3.831308548370563e-05]"
2023-08-14,1.0,2,"[5.3969914181418504e-05, 0.2689633699005018, 0.730982660185299, 2.5024127475764722e-26]"
2023-09-04,2.0,1,"[2.7283748957055934e-06, 0.7310708778721966, 0.2689263937529113, 1.8600855138513577e-20]"
2023-09-11,1.0,2,"[6.061338979043096e-12, 0.26894161872029043, 0.7309675349259306, 9.084634772809532e-05]"
2023-09-18,2.0,1,"[2.5469417846847058e-05, 0.7309943552773518, 0.26894675480115426, 3.342050363467823e-05]"
2023-09-25,1.0,2,"[0.0013304939673345947, 0.2689893628776544, 0.7296801311846229, 1.1970355462373853e-08]"
2023-10-09,2.0,1,"[0.0004860144666086275, 0.7310849168361658, 0.268429064293568, 4.403647678121615e-09]"
2023-10-23,1.0,2,"[4.035569749896433e-06, 0.26892954117513146, 0.7309986025074422, 6.782074767574982e-05]"
2023-10-30,2.0,1,"[3.790565231363218e-12, 0.7310586220146592, 0.2689164281227978, 2.4949858754784237e-05]"
2023-11-06,1.0,2,"[1.9448666870289454e-06, 0.26894144149168603, 0.7310566136377817, 3.804822048311201e-12]"
2023-11-20,2.0,1,"[9.675234436049899e-08, 0.7310344228644798, 0.2689416136143805, 2.3866768829203065e-05]"
2023-12-04,1.0,2,"[3.559319837536731e-08, 0.26927551749701123, 0.7306332050836083, 9.124182620786673e-05]"
2023-12-11,2.0,1,"[1.3224252857924344e-07, 0.7309747441348379, 0.2687837405729096, 0.00024138304974953296]"
2023-12-18,1.0,2,"[7.770760141428305e-08, 0.2692351428492002, 0.7306382340558553, 0.0001265453873472003]"
2024-01-08,2.0,1,"[8.266637297026385e-08, 0.7360668209487584, 0.26385597880873557, 7.711757614676955e-05]"
2024-02-12,1.0,2,"[0.14935048702069117, 0.004271946595412942, 0.846287298039025, 9.02683448402875e-05]"
2024-02-26,2.0,1,"[0.1186750529705635, 0.7314604309380018, 0.14985887653772584, 5.639553701315181e-06]"
2024-04-01,1.0,0,"[0.7309613116429982, 0.26892303257652705, 0.00010378697573117497, 1.1868804745304119e-05]"
2024-04-08,0.0,1,"[0.26890582034395605, 0.7310699046729261, 1.41569018661559e-05, 1.0118081224896379e-05]"
2024-04-15,1.0,0,"[0.7306157266690392, 0.2689325208609663, 0.0004480025577455908, 3.7499122115046925e-06]"
2024-04-22,0.0,2,"[0.2687784808030267, 1.770982549889636e-05, 0.7311832766843364, 2.0532687127377884e-05]"
2024-05-27,2.0,1,"[1.6208333111457464e-09, 0.7517599295863406, 0.2481227981365151, 0.00011727065631094424]"
2024-07-08,1.0,2,"[0.022046672516149043, 0.2686941638652944, 0.709253360448235, 5.803170335060064e-06]"
2024-08-05,2.0,1,"[8.324922453078131e-08, 0.7305609109342419, 0.2694361047940355, 2.9010224576989753e-06]"
2024-08-12,1.0,2,"[4.49295870960005e-07, 0.26995417285683837, 0.7300089908939752, 3.638695332974332e-05]"
2024-09-23,2.0,1,"[7.808627992725947e-09, 0.7309771448810324, 0.26900720318064825, 1.564412968931336e-05]"
2024-09-30,1.0,0,"[0.5788234808937215, 0.2690797308313264, 0.15207815774082967, 1.8630534097126737e-05]"
2024-10-07,0.0,2,"[0.21293726044973263, 0.0012122115803173137, 0.7852172119801445, 0.0006333159898354684]"
2024-12-30,2.0,1,"[0.00027306125704695567, 0.7217057306190724, 0.2779645603298824, 5.664779400705669e-05]"
2025-01-06,1.0,2,"[0.00010045404557835711, 0.2653599397036366, 0.7345234840350987, 1.6122215693149494e-05]"
2025-02-03,2.0,0,"[0.7159275890760304, 0.009039546480263654, 0.2749715228801949, 6.134156348448795e-05]"
2025-02-17,0.0,2,"[0.2647199493487585, 0.011441359033441161, 0.7238183608665973, 2.033075121166478e-05]"
2025-03-10,2.0,3,"[0.007185840611456044, 8.536624226801376e-05, 0.26919566292001523, 0.723533130226218]"
2025-04-21,3.0,2,"[1.2228838190806955e-07, 1.1294454685705654e-05, 0.7310940862226749, 0.2688944970342284]"
2025-05-12,2.0,0,"[0.7273118702789054, 0.004140753211958723, 0.2684384026528327, 0.00010897385631874995]"
2025-05-19,0.0,1,"[0.2674181434393863, 0.7325818565605996, 5.701952403437779e-29, 1.5243120417861458e-14]"
2025-06-02,1.0,0,"[0.7221836764965016, 0.26993376778655, 0.0074162553828689675, 0.0004663003340958655]"
2025-06-16,0.0,2,"[0.0026734368810493883, 2.563106011733483e-05, 0.8705303555620109, 0.1267705764968315]"
2025-06-23,2.0,3,"[0.000983559894374367, 0.00014070724412569119, 0.26840649099153774, 0.730469241869993]"
2025-07-14,3.0,2,"[8.417693962157768e-08, 8.57606895936135e-06, 0.6641644595282947, 0.33582688022576535]"
2025-08-04,2.0,1,"[5.99290759480634e-10, 0.7148875513296036, 0.2687778981061249, 0.016334549964985356]"
2025-08-11,1.0,2,"[3.787262403322598e-09, 0.26299243288355534, 0.7279264751676643, 0.009081088161513151]"
2025-08-18,2.0,3,"[0.03908615389403033, 5.140301135480485e-06, 0.2677891841209312, 0.6931195216838895]"
2025-08-25,3.0,2,"[0.01437903647565861, 1.8910111205603725e-06, 0.727328274837687, 0.25829079767550944]"
2025-09-08,2.0,3,"[2.7191614510544973e-11, 1.5825845064055886e-08, 0.2686497505296147, 0.7313502336173777]"
2025-09-15,3.0,2,"[1.7513077164811645e-11, 4.502350423252303e-06, 0.731059021961809, 0.26893647567025414]"
2025-09-22,2.0,1,"[9.717767036216966e-11, 0.7308201600359661, 0.2689397693494317, 0.00024007051745476084]"
2025-09-29,1.0,2,"[3.3524382000531645e-11, 0.26885310353190794, 0.7310585785220725, 8.831791252331599e-05]"
2025-11-03,2.0,1,"[6.143484614029238e-10, 0.7253536461008282, 0.27464631252053406, 4.076427969289242e-08]"
2025-11-10,1.0,2,"[2.5452093323285277e-08, 0.2665966909058039, 0.7202200027325099, 0.013183280909551693]"
2025-11-17,2.0,1,"[1.0546470316043052e-08, 0.7248740243084473, 0.2702760541289288, 0.004849911016117091]"
2025-11-24,1.0,0,"[0.6830810625574201, 0.26670754905845634, 0.0439434503172017, 0.006267938066928775]"
2025-12-08,0.0,1,"[0.2677411117143625, 0.7307364298532723, 0.0015147137538122156, 7.744678546383124e-06]"
